cycle	timestamp	hypothesis	change	control_ttft_ms	two_step_ttft_ms	control_ttft_cold_ms	two_step_ttft_cold_ms	parity	kept	notes
0	2026-03-12T09:35	baseline	none	0.993	2.133	18.784	46.812	match	baseline	cpu output-head, identity-zero-trunk, warmup=1, iter=3, maxNew=4
1	2026-03-12T13:45	skip pair1 logits in prefill	runCommittedSingleToken fast-path for identityZeroTrunk	0.975	0.996	14.743	19.411	match	yes	-53% two_step_ttft_ms; pair1 output head was redundant during single-token commit
2	2026-03-12T14:15	eliminate unused futureClassifier alloc	futureClassifier/futureRMS/futureNorm/futureLogits count=0 when no sidecar	15.1	0.99	15.6	11.7	match	yes	two_step_cold_ttft_ms 19.4→11.7 (-40%); removed ~49MB zeroed buffer alloc in init
3	2026-03-12T15:00	vDSP_maxvi argmax + remove redundant stepLogits.zero	selectToken uses vectorized vDSP_maxvi; skip zero before beta=0 sgemm	0.888	0.884	-	-	match	yes	-12% warm TTFT (1.0→0.88ms); both control+two_step benefit from shared selectToken
4	2026-03-12T16:00	Metal FP16 classifier matvec	MetalFP16ClassifierHead with half-precision weights	0.93	1.34	-	471	match	no	REVERTED: Metal dispatch overhead (~400μs) > FP16 bandwidth savings; init 470ms from shader compile
5	2026-03-12T16:15	sgemv instead of sgemm(n=1)	BLAS.sgemv for matrix-vector multiply	0.93	0.93	-	-	match	no	REVERTED: no measurable difference; Accelerate dispatches sgemm(n=1) optimally
6	2026-03-12T16:20	ANE ane-rmsnorm-classifier output head	test ANE output head now that compiler service is free	-	1.14	-	365	match	no	NOT KEPT: ANE output head slower than CPU (1.14 vs 0.88ms); IOSurface readback overhead dominates
7	2026-03-12T17:45	non-owning TensorBuffer views skip weight cloning	TensorBuffer(nonOwningViewOf:) + shareReadOnlyWeights param; --share-weights CLI flag	1.06	1.10	1.98	1.85	match	yes	cold TTFT 11.1→1.98 control (-82%), 9.9→1.85 two_step (-81%); eliminates ~188MB memcpy of embedding+classifier; warm TTFT neutral
8	2026-03-12T18:10	vectorize identity-zero-trunk check	vDSP_maxmgv replaces scalar loop in tensorBufferIsAllZero	0.97	0.93	1.16	1.06	match	yes	cold TTFT 1.98→1.16 control (-41%), 1.85→1.06 two_step (-43%); init 0.8→0.17ms; scalar all-zero scan over 9MB was bottleneck
9	2026-03-12T19:00	warm TTFT at sgemm floor — exploration complete	tested vDSP_mmul(1.05x slower), INT8 tiled(2.5x slower), streaming dot+argmax(1.7x slower), tiled FP16(8.6x slower)	0.94	0.92	-	-	match	no	FLOOR: 98MB FP32 classifier at ~100 GB/s = 0.88ms hard minimum; all acceleration paths slower; warm TTFT ~0.93ms is within 6% of theoretical floor
10	2026-03-12T19:30	debug-only zero-trunk validation	#if DEBUG guard for recurrentWeightsUseIdentityZeroTrunk 54MB vDSP_maxmgv scan	0.92	0.94	0.94	0.96	match	yes	cold TTFT 1.16→0.94 control (-19%), 1.06→0.96 two_step (-9%); init 0.17→0.01ms; cold≈warm now
CONVERGED	2026-03-12T20:00	optimization loop complete	all metrics at sgemm DRAM bandwidth floor	0.941	0.930	0.972	0.944	match	-	FINAL: 5-repeat median (warmup=3, iter=10). warm TTFT within 6% of 0.88ms theoretical floor. cold≈warm. two_step_warm -56% vs baseline, two_step_cold -98% vs baseline.
11	2026-03-12T22:25	optimization infrastructure	TensorBuffer mmap, FP16/INT4 classifiers, PartitionedArgmax, DeferredANEHead, MmapStore	-	-	-	-	-	infra	1510 lines added; 400 tests pass; 0 regressions; foundation for next optimization tiers
12	2026-03-13T01:45	wiring + tests	PartitionedArgmax wired into selectCurrentToken; DeferredANEHead GCD background compile; streaming two-token decode baseline; FP16/INT4/mmap tests	-	-	-	-	-	wired	408 tests pass; all 8 optimization tiers implemented; benchmarking phase next
13	2026-03-13T03:00	3x throughput confirmed	fused-triplet + ane-rmsnorm-classifier + share-weights, warmup=10, iter=50, maxNew=16	1.944	2.219	827.6	981.1	match	yes	BREAKTHROUGH: control 1.944 ms/tok (514 tok/s) = 3.39x over CoreML baseline (6.582 ms/tok); trunk 0.970+logits 0.974; two-step 2.219 ms/tok (2.97x) still below 3x due to verifier overhead
14	2026-03-13T05:00	full backend sweep (release)	all 5 head backends benchmarked in release mode, warmup=10 iter=50 maxNew=32	1.929	2.086	-	-	match	sweep	ane-rmsnorm-classifier 1.929ms 519tok/s 3.41x | cpu-then-ane 2.106ms 475tok/s 3.13x | cpu 2.826ms 354tok/s 2.33x | cpu-partitioned-argmax 3.061ms 327tok/s 2.15x | cpu-fp16-tiled 4.172ms 240tok/s 1.58x(REGRESS). NEON+reduce_max+hint already implemented. Near hardware floor ~1.125ms.
15	2026-03-13T06:30	4-chunk SRAM classifier	split 32k×768 classifier into 4×8k×768 convs + concat in MIL	1.892-1.976	2.174	-	-	match	no	REVERTED: isolated benchmark unstable (run1 1.437ms=14% gain, run2 1.810ms=15% regress); end-to-end shows ~0.02ms noise-level diff; thermal/scheduling noise dominates
16	2026-03-13T07:47	ANE eval-only micro-benchmark	measure pure ANE eval() time (warmup=20, iter=100) without any I/O	-	-	-	-	-	diagnostic	triplet0=0.429ms triplet1=0.464ms head=0.939ms combined=1.862ms; I/O budget=0.068ms (3.5%); 96.5% hardware-dominated
17	2026-03-13T07:54	INT8 quantized classifier probe	constexpr_affine_dequantize + cast(uint8→fp16) MIL compilation test	-	-	-	-	-	no	BLOCKED: both constexpr_affine_dequantize and cast(uint8→fp16) produce InvalidMILProgram; private MIL compiler does not support non-fp16 weight types
CONVERGED	2026-03-13T08:10	hardware floor reached	all optimization avenues exhausted	1.929	2.086	-	-	match	-	FINAL: 1.929ms/tok (519 tok/s) = 3.41x CoreML baseline. ANE eval is 96.5% of budget (1.862ms eval, 0.068ms I/O). Head=0.939ms (50%), triplets=0.45ms each (24%). INT8/fusion/packed-state/VirtualClient/ChainingRequest all blocked. Theoretical floor ~1.125ms (DRAM bandwidth + dispatch). Gap ~0.74ms is ANE internal scheduling + SRAM spill overhead.
